tiempo,posicion_x_px,posicion_y_px,posicion_x,posicion_y,velocidad_x,velocidad_y,aceleracion_x,aceleracion_y,velocidad_angular,aceleracion_angular
4.599,2000.0,572.0,16.220427307134113,4.6390422098403565,0.0,-0.12,14.85,-7.58,2.7867564822105706,-0.4381474662289665
4.633,2000.0,571.5,16.220427307134113,4.6349871030135725,0.49,-0.37,7.58,-18.48,2.772164142303227,-0.4475910901419712
4.666,2002.0,570.0,16.236647734441245,4.622821782533222,0.74,-0.98,-0.59,-16.76,2.7572567951649254,-0.4572058813341694
4.699,2005.0,566.0,16.260978375401947,4.590380927918954,0.72,-1.55,7.88,9.7,2.7420287133377608,-0.4669918275334883
4.733,2008.0,559.5,16.28530901636265,4.537664539170768,0.98,-1.23,14.85,-11.21,2.726474169363831,-0.47694891646785365
4.766,2012.0,554.5,16.317749870976918,4.497113470902932,1.47,-1.6,12.94,-16.18,2.710587435785234,-0.4870771358651915
4.799,2018.0,548.0,16.36641115289832,4.4443970821547465,1.91,-2.15,16.67,9.39,2.6943627851440644,-0.49737647345342806
4.833,2026.0,539.0,16.431292862126856,4.371405159272643,2.46,-1.84,14.85,-7.58,2.6777944899824213,-0.5078469169604898
4.866,2036.0,531.5,16.512394998662526,4.31057855687089,2.95,-2.09,11.47,8.82,2.6608768228424013,-0.5184884541143027
4.899,2048.0,523.0,16.60971756250533,4.24164174081557,3.34,-1.79,-4.55,9.7,2.6436040562661,-0.5293010726427925
4.933,2062.0,515.5,16.72326055365527,4.180815138413817,3.19,-1.47,30.0,22.12,2.625970462795616,-0.5402847602738865
4.966,2075.0,509.5,16.82869333115164,4.132153856492415,4.18,-0.74,-3.53,-6.18,2.6079703149730458,-0.5514395047355094
4.999,2092.0,506.5,16.96656696326228,4.107823215531714,4.06,-0.95,-11.21,13.94,2.5895978853404857,-0.5627652937555883
5.033,2109.0,502.5,17.10444059537292,4.0753823609174455,3.69,-0.49,-7.58,14.85,2.5708474464400335,-0.5742621150620494
5.066,2124.0,500.5,17.22609380017643,4.059161933610311,3.44,0.0,11.18,14.12,2.551713270813785,-0.5859299563828184
5.099,2138.0,500.5,17.339636791326367,4.059161933610311,3.82,0.48,-11.52,15.15,2.5321896310038388,-0.5977688054458217
5.133,2154.0,502.5,17.46940020978344,4.0753823609174455,3.44,0.98,0.0,3.94,2.5122707995522906,-0.6097786499789857
5.166,2168.0,506.5,17.58294320093338,4.107823215531714,3.44,1.11,-7.58,7.27,2.491951049001238,-0.6219594777102363
5.199,2182.0,511.0,17.696486192083317,4.144319176972766,3.19,1.35,-16.76,12.94,2.471224651892778,-0.6343112763674994
5.232,2195.0,516.5,17.801918969579688,4.188925352067384,2.62,1.79,-4.85,1.52,2.4500858807690067,-0.6468340336787018
5.266,2206.0,524.0,17.891131319768927,4.249751954469137,2.46,1.84,-14.85,0.0,2.4285290081720214,-0.6595277373717691
5.299,2216.0,531.5,17.972233456304597,4.31057855687089,1.97,1.84,-22.94,2.06,2.4065483066439195,-0.6723923751746276
5.332,2224.0,539.0,18.03711516553313,4.371405159272643,1.19,1.91,1.21,-13.33,2.384138048726798,-0.685427934815204
5.366,2229.0,547.0,18.07766623380097,4.436286868501179,1.23,1.47,-7.58,-3.64,2.3612925069627533,-0.6986344040214236
5.399,2234.0,553.0,18.118217302068803,4.484948150422582,0.98,1.35,-14.71,-11.76,2.3380059538938824,-0.7120117705212131
5.432,2238.0,558.5,18.150658156683072,4.529554325517201,0.48,0.95,7.88,8.48,2.314272662062283,-0.7255600220424989
5.466,2240.0,562.5,18.166878583990204,4.561995180131469,0.74,1.23,-7.58,-18.79,2.2900869040100518,-0.7392791463132065
5.499,2243.0,567.5,18.191209224950907,4.602546248399304,0.49,0.61,-7.35,-10.88,2.265442952279286,-0.7531691310612624
5.532,2245.0,570.0,18.207429652258043,4.622821782533222,0.24,0.24,-7.27,0.3,2.2403350794120813,-0.7672299640145932
5.566,2246.0,571.0,18.21553986591161,4.630931996186789,0.0,0.25,7.58,-15.15,2.214757557950535,-0.7814616329011241
5.599,2246.0,572.0,18.21553986591161,4.6390422098403565,0.25,-0.25,-7.35,-10.29,2.1887046604367453,-0.7958641254487819
5.632,2247.0,571.0,18.22365007956517,4.630931996186789,0.0,-0.6,7.58,-19.09,2.162170659412808,-0.8104374293854932
5.666,2247.0,568.5,18.22365007956517,4.610656462052871,0.25,-1.23,36.97,0.0,2.135149827420821,-0.8251815324391831
5.699,2248.0,563.5,18.23176029321874,4.570105393785036,1.47,-1.23,-29.12,4.71,2.1076364370028804,-0.8400964223377784
5.732,2254.0,558.5,18.280421575140146,4.529554325517201,0.48,-1.07,22.73,-16.06,2.0796247607010843,-0.8551820868092055
5.766,2256.0,554.0,18.29664200244728,4.493058364076149,1.23,-1.6,14.85,-11.21,2.0511090710575277,-0.8704385135813899
5.799,2261.0,547.5,18.33719307071512,4.440341975327963,1.72,-1.97,-8.53,8.82,2.022083640614309,-0.8858656903822578
5.832,2268.0,539.5,18.393964566290084,4.375460266099426,1.43,-1.67,16.36,-9.09,1.992542741913525,-0.9014636049397364
5.866,2274.0,532.5,18.442625848211485,4.318688770524457,1.97,-1.97,7.27,15.15,1.962480647497272,-0.9172322449817507
5.899,2282.0,524.5,18.50750755744002,4.253807061295921,2.21,-1.47,12.06,1.18,1.931891629907648,-0.9331715982362271
5.932,2291.0,518.5,18.580499480322125,4.205145779374519,2.62,-1.43,-4.85,6.06,1.9007699616867493,-0.9492816524310926
5.966,2302.0,512.5,18.669711830511364,4.156484497453116,2.46,-1.23,29.7,0.0,1.869109915376673,-0.9655623952942723
5.999,2312.0,507.5,18.75081396704704,4.115933429185281,3.44,-1.23,-17.06,11.76,1.8369057635195158,-0.982013814553693
6.032,2326.0,502.5,18.86435695819697,4.0753823609174455,2.86,-0.83,-4.85,17.58,1.804151778657376,-0.9986358979372807
6.066,2338.0,499.0,18.961679522039777,4.046996613129961,2.7,-0.25,0.0,0.0,1.7708422333323486,-1.015428633172961
6.099,2349.0,498.0,19.050891872229016,4.038886399476394,2.7,-0.25,-30.29,10.88,1.7369714000865315,-1.032392007988661
6.132,2360.0,497.0,19.14010422241825,4.030776185822827,1.67,0.12,-30.29,10.88,1.7025335514620217,-1.0495260101123072
6.166,2367.0,497.5,19.196875717993223,4.034831292649611,1.67,0.12,-30.29,10.88,1.6675229600009156,-1.0495260101123072
